|firstCQs|secondCQs|score
83|What is required for Combined thermal demand and instantaneous ammeters?|What is the best position for the meter?|0.7489
84|What is required for Combined thermal demand and instantaneous ammeters?|What is the supply authority for metering points?|0.7473
85|What is a VSD control panel?|What is the voltage of the control circuit supply voltage?|0.7306
86|What is cavitation vibration air locking?|?|0.7222
87|What is cavitation vibration air locking?|When mechanical type couplings are used?|0.7166
88|What is cavitation vibration air locking?|What is the requirement to comply with this Part?|0.7161
89|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|What is the requirement to comply with this Part?|0.7428
90|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|?|0.7424
91|What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?|What is the purpose of these guidelines?|0.7392
92|What is a SN stiffness class fitting?|What is a scour fitting?|0.7303
93|What is a SN stiffness class fitting?|What is the snore lev el?|0.7082
94|What is a Surge arrestor?|When the pulse cabl has been destroyed or tampered with?|0.7336
95|What is a Surge arrestor?|What is a single house pumped discharge?|0.7245
96|What is an independent laboratory accredited by the Irish National Accreditation Board?|What was the result of the test?|0.7465
97|What is an independent laboratory accredited by the Irish National Accreditation Board?|What are the Qualifications and Training Requirements?|0.7358
98|What is an independent laboratory accredited by the Irish National Accreditation Board?|What should be certified and equivalent?|0.7356
99|What is a MDP?|What has been included in the following definitions?|0.6954
100|What is a MDP?|?|0.6925
101|What is a MDP?|What is the most favourable alternative?|0.689
102|What is a MDP?|What is the WSDP?|0.6887
103|What is a dial out alarm?|What is a tele metry outstation?|0.7466
104|What happens when sheathing is to be applied after lini g?|?|0.7429
105|What is the jetting resistance of psi Bar?|?|0.7207
106|What is a dft?|What are the following proformas?|0.7373
107|What is a dft?|?|0.7373
108|What is a dft?|What is Standard Specification DWS?|0.7347
109|What should be kept clear of fuel oils?|What is the minimum clear distance?|0.6924
110|What should be kept clear of fuel oils?|What is the proposed maintenance regime for the grease trap?|0.692
111|What is a Volt Free Contact?|What is a vortice?|0.7431
112|What is a Volt Free Contact?|What is the Department Specifications on Electrical Installations?|0.7383
113|What is a phase angle type relay?|What is a phase induction type fan?|0.7335
114|What is a phase angle type relay?|What changes of direction greater than degrees?|0.7312
115|What is a phase angle type relay?|What is the minimum opening angle of degrees?|0.7196
116|What is bitumen dipping?|What should be laid in soil that is contaminated with petrol oil?|0.7166
117|What is bitumen dipping?|What is the subject of this document?|0.6978
118|What is a GMS signal strength survey?|What are the CSA requirements for Analogue signal cabling?|0.7417
119|What is a GMS signal strength survey?|What should be used as far as possible?|0.7298
120|What is a GMS signal strength survey?|What is the purpose of these guidelines?|0.7193
121|What is the start ode reference?|What are the flow assumptions for the proposed Works for the Development?|0.7435
122|What is the start ode reference?|?|0.7396
123|What is the start ode reference?|What should be included in the calculation of the system curve?|0.7388
124|What is the consumption of ach individual household?|What should residential demand estimates be based on?|0.7488
125|What is a square deep sump?|What is the cost of such a method?|0.7457
126|What is a horizontal rodding eye?|What is the most favourable alternative?|0.7384
127|What is a horizontal rodding eye?|?|0.729
128|What is a horizontal rodding eye?|What should be used as far as possible?|0.7277
129|What is the City of Cape Town SAP system for extraction of information?|What should be used as far as possible?|0.7281
130|What is the City of Cape Town SAP system for extraction of information?|?|0.7227
131|What is the City of Cape Town SAP system for extraction of information?|What should be elucidated in the report?|0.714
132|What is the City of Cape Town SAP system for extraction of information?|What could be made between townships and suburbs in the data sets of Cape Town?|0.7131
133|What is IS ENVIRONMENTAL CONTROL?|What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?|0.7421
134|What is a Class engineering brick?|What would a Class or higher work be?|0.7484
135|How to use a laboratory jar stirrer?|What is the container positioned away from the sides?|0.7295
136|How to use a laboratory jar stirrer?|What is the format of this example?|0.694
137|How to use a laboratory jar stirrer?|?|0.6915
138|What are the requirements for lightning protection?|What is a security lighting?|0.7379
139|What are the requirements for lightning protection?|what is the depth of the protection measures?|0.7328
140|What is a preve t erosion?|What should anchoring be provided in steep slopes and directional and elevation changes?|0.7471
141|What is a preve t erosion?|What is the friction generated in the rising main?|0.7463
142|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What is the yield stress on the steel?|0.7457
143|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What is required for steel fittings and specials?|0.7449
144|What are the mechanical properties of fasteners made of carbon steel and alloy steel?|What is the steel grade for?|0.7444
145|What is a Hoist Chain?|?|0.7412
146|What is a Hoist Chain?|Where th is is unavoidable?|0.7285
147|What is a Hoist Chain?|What is the cost of such a method?|0.7195
148|What is a lamp af ter fault?|What is a fault current?|0.7277
149|What is a lamp af ter fault?|What should a defect be found?|0.7187
150|What is a CPR?|What is the purpose of these guidelines?|0.7183
151|What is a CPR?|What is the purpose of guidelines?|0.7151
152|What is a CPR?|What are the Specific Requirements?|0.7029
153|What is a CPR?|What is required to complete this assessment and review?|0.7018
154|What is a positive spindle drive?|What is the spin lining?|0.7469
155|When lifted the grid shall be capable of being secure in the upright position?|?|0.7397
156|When lifted the grid shall be capable of being secure in the upright position?|What should the hard standing areas be designed to carry?|0.7352
157|When lifted the grid shall be capable of being secure in the upright position?|What is the requirement to comply with this Part?|0.7271
158|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What are the requirements for cable ways?|0.7454
159|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What is the instrument end of the cable?|0.7444
160|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|What is the correct type and size cable?|0.7345
161|What is the use of degreasers and enzymes?|What should be used as far as possible?|0.7458
162|What is the use of degreasers and enzymes?|What has been included in the following definitions?|0.7456
163|What is a hard drive?|What are the Specific Requirements?|0.7463
164|What is a coal coating?|What happens when there are industrial or mining activities in the vicinity?|0.7497
165|What is a coal coating?|What shall the time between surface preparation and coating be?|0.7319
166|What is a coal coating?|What is a Class standard coating?|0.707
167|What is a coal coating?|What is a damage or contamination?|0.701
168|What is a odour control station?|What is the risk of toxic fumes dangerous gasses?|0.7477
169|What is a odour control station?|?|0.7252
170|What is a cistern positive feature?|?|0.7467
171|What is a cistern positive feature?|What is the most favourable alternative?|0.7335
172|What is a cistern positive feature?|What should be elucidated in the report?|0.7324
173|What is the sludge thickness?|What is the Code of Practice and Standard Details for Wastewater Infrastructure?|0.7376
174|What is the sludge thickness?|What is Wastewater arising from such developments?|0.7366
175|What is the maximum resistance ohms?|?|0.7118
176|What is the maximum resistance ohms?|What should be used as far as possible?|0.7108
177|What is the maximum resistance ohms?|What is the electrical scope and limits of contract?|0.7091
178|What is the maximum resistance ohms?|Where the anticipated or design depth at that location is greater than meters?|0.6937
179|What is a security lighting?|What is a Lightning Protection?|0.7414
180|What is a security lighting?|What colour LED are ot available?|0.7408
181|What is a security lighting?|What are the requirements for lightning protection?|0.7379
182|What to do if redundant channels are blanked?|What are the requirements for cable ways?|0.7279
183|What to do if redundant channels are blanked?|What is the design load including antenna?|0.7229
184|What is tand size?|What are the sizes to be used?|0.7064
185|What is tand size?|What should be used as far as possible?|0.7018
186|What is tand size?|What is the TII Specification?|0.6974
187|What is tand size?|What are the following Specifica tions?|0.6938
188|What is a bucket system?|What is the material used for piping system above ground?|0.7352
189|What is a bucket system?|What is the Part Specification for Pipes and Fittings for Smooth Internal and External Surfaces and the System Part?|0.7312
190|What is a bucket system?|What type of pipe is supplied?|0.7251
191|What is the minimum factor of safety aga inst flotation?|What are the figures given in the guidelines?|0.7447
192|What is the minimum factor of safety aga inst flotation?|?|0.7421
193|What is the minimum factor of safety aga inst flotation?|What are the Specific Requirements?|0.7294
194|What does a hydrant consist of?|What is a water test?|0.7355
195|What is Ervian Holdings?|What is the purpose of comparing the et present value of alternative configurations?|0.7261
196|What is Ervian Holdings?|?|0.7156
197|What is Ervian Holdings?|What is the analysis of et present values?|0.7134
198|What is Ervian Holdings?|What should be used as far as possible?|0.7121
199|What type of sand should be used for plastering?|What is the Developers Responsibility for the Provision of Materials?|0.7406
200|What type of sand should be used for plastering?|?|0.7373
201|What type of sand should be used for plastering?|What shall be the replacement material?|0.7304
202|What is the SANS standard for flexible plastic sleeve?|What type of cover should the cover be of?|0.7363
203|What is amenity conservation?|What is the design of asset frastructure and landscaping?|0.748
204|What is amenity conservation?|What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?|0.7417
205|What is amenity conservation?|What is Consent to discharge from the Environmental Protection Agency?|0.7349
206|What is amenity conservation?|What are the requisite dimensional requirements from adjoining property boundaries?|0.7265
207|What is the primary and secondary windi gs?|What is a Supplementary Requirement?|0.7474
208|What is the primary and secondary windi gs?|What has been included in the following definitions?|0.7469
209|What is the National Industrial Participation Programme NIPP?|What is the purpose of these guidelines?|0.7397
210|What is the National Industrial Participation Programme NIPP?|What happens when there are industrial or mining activities in the vicinity?|0.7395
211|What is the National Industrial Participation Programme NIPP?|What is required before advancing with the work?|0.7379
212|What colour LED are ot available?|What should streetlights look like?|0.7487
213|What colour LED are ot available?|What is a security lighting?|0.7408
214|What is the primary app roach?|What are the Specific Requirements?|0.7347
215|What is the primary app roach?|?|0.7335
216|What is the primary app roach?|What is the most favourable alternative?|0.7302
217|What is the primary app roach?|What has been included in the following definitions?|0.729
218|What is a bitumen fibre wrap?|What type of material is offered?|0.7394
219|What is a bitumen fibre wrap?|What is the subject of this document?|0.7166
220|What is a ke pt in mind?|What is a kerb line?|0.7299
221|What is a ke pt in mind?|What has been included in the following definitions?|0.7203
222|What is a ke pt in mind?|What is the purpose of these guidelines?|0.7182
223|What are the discharge limits for commercial scale food prepa ration locations?|What is the purpose of these guidelines?|0.7471
224|What are the discharge limits for commercial scale food prepa ration locations?|What are the figures given in the guidelines?|0.7398
225|What are the discharge limits for commercial scale food prepa ration locations?|What is the requirement to comply with this Part?|0.7361
226|What are the discharge limits for commercial scale food prepa ration locations?|What is the minimum cessation of supply?|0.7349
227|What type of loading bay entrance doors should be provided?|What is the requirement to comply with this Part?|0.7478
228|What type of loading bay entrance doors should be provided?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7474
229|What type of loading bay entrance doors should be provided?|?|0.7412
230|What is a yard tank?|What should break pressure tanks look like?|0.746
231|What is Acrobat Reader?|What is the subject of this document?|0.7433
232|What is Acrobat Reader?|What must be supplied in both electronic and hard copy?|0.7319
233|What is Acrobat Reader?|What is the format of this example?|0.7242
234|What are the CSA requirements for Analogue signal cabling?|What is a GMS signal strength survey?|0.7417
235|What are the CSA requirements for Analogue signal cabling?|What cables shall be installed using proprietary cable support system?|0.7371
236|What are the CSA requirements for Analogue signal cabling?|What is the design load including antenna?|0.7343
237|What should streetlights look like?|What colour LED are ot available?|0.7487
238|What should streetlights look like?|Where access is from traffic sensitive street or other major road?|0.7294
239|What should streetlights look like?|What is the colour code for wiring?|0.7239
240|What is the Motor Starter Compartment?|What is a motor protection unit or relay?|0.745
241|What is the Motor Starter Compartment?|What should have been in the first sentence?|0.7447
242|What is a snore level?|What is a SN stiffness class fitting?|0.699
243|What should slewing jib cranes do?|What size anchor bolts shall be used?|0.718
244|What should slewing jib cranes do?|What shall the lifting gantry do?|0.7087
245|What should slewing jib cranes do?|What is required for the provision of permanent lifting equipment?|0.6974
246|What is a Field Terminal Device AMR feature?|What is a uf Terminal?|0.7497
247|What is a Field Terminal Device AMR feature?|What shall Terminals be fixed to the back of the junction box?|0.7454
248|What is a gland pla te?|What is the most favourable alternative?|0.7379
249|What is the size of a st opcock?|?|0.7368
250|What is the size of a st opcock?|What is the difference between the specified length and the specified width?|0.7181
251|What is a Credit Order Instruction?|What is included in this agreement?|0.7405
252|What is a Credit Order Instruction?|How to determine institutional arrangements and requirements for financial and other reporting?|0.7391
253|What is a PLC?|What is the condition of the control panel?|0.7244
254|What is a PLC?|What are the programmable settings of the unit?|0.7137
255|What is a PLC?|What is required to house the control panels and associated equipment?|0.7126
256|What is a PLC?|What is the policy of the government?|0.7049
257|What is a wet well cleaning snore cycle?|What is the wet well finish?|0.7491
258|What is the eed for such repair reconstruction or rectification works?|What is the eed for full Appendix design assessment?|0.7477
259|What is the eed for such repair reconstruction or rectification works?|What is the eedIW Revision for hour storage of DWF?|0.7394
260|What is required in respect of FOG control?|What is the average dry weather flow?|0.7222
261|What is required in respect of FOG control?|What has been included in the following definitions?|0.7191
262|What is required in respect of FOG control?|What is Dry Weather Flow?|0.7146
263|What is required in respect of FOG control?|What is the minimum clear distance?|0.7086
264|What are the colours of ca bles?|What is the preferred exterior colour of the kiosk?|0.7334
265|What are the colours of ca bles?|What colour LED are ot available?|0.7241
266|What is a litre Shires duranite unit?|Where th is is unavoidable?|0.7499
267|What is a litre Shires duranite unit?|What is the format of this example?|0.7497
268|What is a titration?|What is TII Specification for the Reinstatement of Openings in National Roads July?|0.7424
269|What is a titration?|What is the difference between this Code of Practice and the Guidelines for the Opening Backfilling and Reinstatement of Trenches in Public Roads or the TII Specification for Road Works?|0.7347
270|What is a crane structure?|What is the extent of the buildings and structured?|0.7363
271|What is a crane structure?|What is required for the provision of permanent lifting equipment?|0.7342
272|What is a crane structure?|What should the structures be of?|0.7338
273|What is the requirement for aperture size overflow screens?|What are the Specific Requirements?|0.7055
274|What is the requirement for aperture size overflow screens?|What should be used as far as possible?|0.704
275|What is the minimum chromium content?|?|0.7428
276|What is the minimum chromium content?|What should be used as far as possible?|0.7403
277|What is the minimum chromium content?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7378
278|What is a swab?|What are the requisite site tests for the Works?|0.7476
279|What is a swab?|What is a re test?|0.7396
280|What is the containers freeboard size?|What is the container positioned away from the sides?|0.7306
281|What is the containers freeboard size?|What is a container to stand on?|0.7074
282|What is the containers freeboard size?|What is the difference between a floating open container and a closed container?|0.6827
283|What is the life span of a battery?|?|0.7488
284|What is the life span of a battery?|What should be used as far as possible?|0.7457
285|What is the life span of a battery?|How and where the electricity is supplied and metered?|0.7325
286|What is a phase induction type fan?|What is a phase angle type relay?|0.7335
287|What is a phase induction type fan?|What is the Electrical Specification of this Part?|0.7106
288|What is a phase induction type fan?|What changes of direction greater than degrees?|0.698
289|What is a phase induction type fan?|What shall be the ducting?|0.6976
290|What is an epoxy zinc sealer?|What is the sealant used?|0.7403
291|What is an epoxy zinc sealer?|What shall be the sealant?|0.7392
292|What is an epoxy zinc sealer?|What is a sealer?|0.7375
293|What is the difference between mm and mm solid concrete block work walls?|What happens if the Works is deemed adequate?|0.7425
294|What is thermal overload protection for motors?|What shall the common control and motor starters be provided with?|0.7013
295|What is thermal overload protection for motors?|What is the difference between a pump and motor?|0.6878
296|What Cables Submersible ump power cables shall be?|What is the instrument end of the cable?|0.732
297|What is a Stiffness Class SN fitting?|What is a scour fitting?|0.7363
298|What is a Stiffness Class SN fitting?|What is soldered fittings?|0.7134
299|What is a RTD?|What is a Restricted Toilet Use RTU?|0.7109
300|What is a RTD?|What is the most favourable alternative?|0.6978
301|What is a RTD?|Where th is is unavoidable?|0.6966
302|What is a RTD?|What should be used as far as possible?|0.6962
303|What is a screening of intake works?|What is the selection of an appropriate treatment process?|0.7472
304|What is a screening of intake works?|What is the dependable yield of the various sources?|0.7457
305|What is a screening of intake works?|What are the other requirements for indication?|0.7411
306|What is a ozone depleting substance?|How long should rubber rings be exposed to ultra violet radiation or ozone?|0.7192
307|What is a ozone depleting substance?|What is Consent to discharge from the Environmental Protection Agency?|0.7087
308|What is a ozone depleting substance?|What is the risk of odour nuisance arising?|0.7057
309|What is a ozone depleting substance?|What is the impact of the Works on the environment?|0.6971
310|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What are the following requirements for motor protection?|0.7368
311|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is the in year return period event requirement?|0.7347
312|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is the requirement to comply with this Part?|0.7188
313|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What are the Specific Requirements?|0.7125
314|What pits are the orms?|What happens when Odour is removed from the pit?|0.7391
315|What pits are the orms?|Why not move the VIP toilet when the pit is full?|0.7276
316|What pits are the orms?|What is the size of the pit and the porosity of the soil surrounding it?|0.7172
317|What pits are the orms?|What is a Lining Pit?|0.7117
318|What is the value of chlorine?|What is the cost of this?|0.7373
319|What is the value of chlorine?|What is the most favourable alternative?|0.7369
320|What is the value of chlorine?|?|0.7355
321|What is the case for outside taps?|Where the water source is being further developed?|0.7426
322|What is a PVC asbestos cement polyethylene?|What type of mortar shall be used for the frame and cover?|0.7451
323|What is a chlorine test kit?|What are the results of these tests?|0.736
324|What is a chlorine test kit?|What was the result of the test?|0.7349
325|What is a chlorine test kit?|What is the infiltration test?|0.7262
326|How long should rubber rings be exposed to ultra violet radiation or ozone?|What is a ozone depleting substance?|0.7192
327|How long should rubber rings be exposed to ultra violet radiation or ozone?|What is SA NS Class and shall be in lengths complete with integral socket and rubber ring seal?|0.6907
328|How long should rubber rings be exposed to ultra violet radiation or ozone?|What shall be the replacement material?|0.6822
329|How long should rubber rings be exposed to ultra violet radiation or ozone?|What is the cost effective way to minimise its occurrence?|0.6805
330|What is the steam curing process?|?|0.7175
331|What is the steam curing process?|What is the Developers Right to Revert to?|0.7078
332|What are the requirements of SANS?|What should be used as far as possible?|0.7393
333|What is the problem with weirs siltation?|Why in line eedle valves be used for controlled water outlet from the dam or weir?|0.7462
334|What is the earth elect rode?|What is a earthing survey?|0.7394
335|What is the earth elect rode?|What is the supply authority requirement regarding earthing?|0.7282
336|What is a topacryl finish?|What type of material is offered?|0.733
337|What is a topacryl finish?|What is the finished lining?|0.7294
338|What is a topacryl finish?|What shall be the replacement material?|0.7242
339|What is a topacryl finish?|What is the main fill material?|0.7192
340|What is the Municipal Infrastructure Unit MIU?|What is the delivery of services in urban areas?|0.7447
341|What is a chafing membrane?|What is the most favourable alternative?|0.7454
342|What is a chafing membrane?|What should be used as far as possible?|0.7373
343|Why stringers should be bolted to the support cleats?|?|0.75
344|Why stringers should be bolted to the support cleats?|What is the requirement to comply with this Part?|0.7493
345|Why stringers should be bolted to the support cleats?|What happens if pipes fittings or specials are damaged in any way and through any cause whatsoever during delivery and stacking?|0.7481
346|What is the minimum internal dimensions of the access shaft?|What should be used as far as possible?|0.7463
347|What is the minimum internal dimensions of the access shaft?|What is the requirement to comply with this Part?|0.7459
348|What is the minimum internal dimensions of the access shaft?|?|0.7421
349|What will Solar ce lls do when o mains power is available?|?|0.7239
350|What will Solar ce lls do when o mains power is available?|Where th is is unavoidable?|0.7211
351|What will Solar ce lls do when o mains power is available?|How and where the electricity is supplied and metered?|0.7193
352|What to do if junction boxes are to be installed?|What are the overs for surface boxes on Rising Main?|0.7415
353|What is the SABS NCRS Metrological certificate?|What is SA NS approved?|0.7444
354|What is the SABS NCRS Metrological certificate?|What is SA NS as amended?|0.7403
355|What is the cost of a garden tap?|What is the peak capacity of the feeder pipes and water purification works?|0.7366
356|What are the requirements of the Occupa tional Health and Safety Act?|What does the Department of Health do?|0.7419
357|What are the requirements of the Occupa tional Health and Safety Act?|What is the Occupation Health and Safety Act Act of?|0.7419
358|What is a hot dip galvanised treatment?|What is a corrosion barrier?|0.7334
359|What is a hot dip galvanised treatment?|?|0.7287
360|What are the flow characteristics of ballostops?|What are the precautions to avoid causing damage to or interference with flow?|0.7455
361|What is the ESB incoming power cable?|What is the minimum segregation separation between Band ELV signal and Band LV power cables?|0.727
362|What is the ESB incoming power cable?|What is a Power factor correctio?|0.7195
363|What is the long term roughness value ks?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7474
364|What is the long term roughness value ks?|What should be used as far as possible?|0.7428
365|What should eck rings be fitted with?|What is the body of the end ring?|0.7426
366|What should eck rings be fitted with?|What are the requirements of IS EN and IS?|0.7418
367|Why use a Talbot Steripress?|?|0.7493
368|Why use a Talbot Steripress?|What should be used as far as possible?|0.7255
369|Why use a Talbot Steripress?|What is the requirement to comply with this Part?|0.7251
370|Why use a Talbot Steripress?|What is the format of this example?|0.7248
371|What is recommended for turbid raw waters NTUs?|Where the water source is being further developed?|0.743
372|When vailable NPSH is problem?|?|0.7419
373|When vailable NPSH is problem?|What should be used as far as possible?|0.7362
374|When vailable NPSH is problem?|What has been included in the following definitions?|0.735
375|When vailable NPSH is problem?|Where th is is unavoidable?|0.734
376|What is electrofusion jointed to the ends of the coil?|What is the Electrical Specification of this Part?|0.7384
377|What is electrofusion jointed to the ends of the coil?|What is a butt fusion and electrof usion jointing process?|0.7363
378|What is electrofusion jointed to the ends of the coil?|What equipment shall be used for butt fusion and electrofusion welding?|0.735
379|What should the freeboard height above the storage volume be?|What is the storage capacity requirement?|0.7211
380|What should the freeboard height above the storage volume be?|What is ot limited to the provision of on site balance storage?|0.6979
381|What should the freeboard height above the storage volume be?|What is a balance storage requirement?|0.6967
382|What should be laid in soil that is contaminated with petrol oil?|What is the condition of the soil in which the pipe is to be laid?|0.7421
383|What happens when fuses are removed?|What is a fault current?|0.7489
384|What was the disruption caused by the use of shacks in Kosovo?|What are the blocks of toilets used in Kosovo Service Guidelines Standards for Water and Sanitation Department CCT?|0.7187
385|What was the disruption caused by the use of shacks in Kosovo?|What is the purpose of comparing the et present value of alternative configurations?|0.6954
386|What was the disruption caused by the use of shacks in Kosovo?|What is the municipality doing in house?|0.6876
387|What was the disruption caused by the use of shacks in Kosovo?|What is a double lock?|0.6851
388|What solar means are available for small power requirements?|What is the difference between uf Solar cells and WIVA chargers?|0.7495
389|What solar means are available for small power requirements?|What are the recommended minimum dimensions?|0.7106
390|What solar means are available for small power requirements?|What are Specific Minimum Requirements?|0.7065
391|What happens if the second person does ot acknowledge the alarm message?|?|0.749
392|What happens if the second person does ot acknowledge the alarm message?|What is a standard warning otice?|0.739
393|What shall be the sock et fittings?|What Does Rising Main Fittings Do?|0.7472
