source,question
Further phases say for the ext to years should be stated briefly so that complete view of the future planning may be formed,What are the ext to years??
iii In respect of water feeder systems the peak capacities of the feeder pipes and water purification works should be ment ioned,What is the peak capacity of the feeder pipes and water purification works??
The term integral parts relates to those components of the scheme that can function independently pipelines pumping station reservoirs purification works powerlines dams pressure towers etc,What is integral part of the scheme??
Viability Calculations to show that the operations and maintenance are financially sustainable through mix of tariff revenue and equitable sha re and other allocations,What is a Viability Calculation??
Legal Requirements Legal requirements that eed to be complied with including water use licensing and Environmental Impact Assessments,What are the Legal Requirements??
UNIT COST OF WATER The total annual expenditure on completed scheme must be calculated in terms of the present cost,What is the total annual expenditure on completed scheme??
EXAMPLE OF TABLE THAT CAN BE USED IN CALCULATING THE PROJECTED FUTURE WATER CONSUMPTION YEAR HOUSEHOLD INDUS TRIAL INSTITUTION SCHOOLS HOSP,What is a TABLE??
The actual annual water consumption for the previous years should be shown to provide an indication of the historical growth rate,What is the actual annual water consumption for the previous years??
If bulk water meters are ot available summation of sales can be integrated with the general monthly bookkeeping,When bulk water meters are ot available?
B PROJECTION OF FUTURE WATER CONSUMPTION The method of calculation and assumptions on expected consumption should be motivated and should be compatible with the WSDP,What is the WSDP??
The Departmental standards indicate the mi imum standard to which consumption for institutions etc,What is the Departmental standard??
Some estimates assume larger unit consumptions per capita whether as result of gardening high living standards climatic conditions or because separate estimate is ot incl uded for schools hospitals and businesses etc,What are some estimates of consumptions per capita??
The format of this example allows for gradual adjustment of unit consumption which mainly applies where improved services and exalted living standards eg,What is the format of this example??
Rainfall and climate information ature of population composition and the economic activities wet industries of the community therefore should be elucidated in the report,What should be elucidated in the report??
Maintenance cost Existing works Proposed works on mechanical equipment to the value of on pipelines and powerlines to the value of on civil works to the value of,What is the maintenance cost of Existing works??
Administrative cos ts RD per point of connection TOTAL ANNUAL COST Based on the estimated annual water consumption the unit of water is NOTES Interest rate at time of application for funds,What is the estimated annual water consumption??
Guidelines for the development of water and sanitation infrastructure DESIGN CRITERIA Introduction These planning design criteria have been determined to provide basic level of water supply with some provision has been made for the future upgrading of the supply to higher levels of service,What are the design criteria for the development of water and sanitation infrastructure??
Not withstanding the guidelines given in this document the professional respo sibility for selecting appropriate planning design criteria for the specific circumstances remains with the planner or design engineer,What is the professional respo sibility for selecting appropriate planning design criteria for the specific circumstances??
Summary of design and planning criteria Recommended planning design criteria are summarised in the following table GENERAL SUMMARY OF BASIC PLANNING AND DESIGN CRITERIA Design Horizon Years from commissioning for pipelines and reticulation,What planning criteria are recommended for pipelines and reticulation??
Growth Rate up to Design Horizon As projected in WSDP or otherwise proved,What is the Growth Rate up to Design Horizon??
Design Water Usage lcd for all infrastructure com ponents In cases of restricted groundwater sources minimum water usage of lcd is acceptable for pumps pumping mains and elevated tanks only,What is the minimum water usage of lcd??
Even in cases of restricted groundwater sources reticulation is to be designed for lcd,What is a reticulation??
Design Loss Factors LF Water treatment works LF ii Total conveyance losses LF Gross Average Annual Daily Demand GAADD GAADD LF AADD Summer Peak Factor SPF minimum to maximum Summer Daily Demand WATER TREATMEN WORKS AND SDD ww SPF GAADD LF Design Pumping Period hrs day Guidelines for the development of water and sanitation infrastructure RAW WATER AND CLEAN WATER PUMPS SDD ww Summer Daily Demand BULK SUPPLY PIPELINES SDD pl SDD pl SPF GAADD Summer Daily Demand BOREHOLE PUMPS SDD pu SDD pu SPF GAADD Design Pumping Period See below Storage Reservoirs Total Storage Regional and Village Reservoirs combined but excluding elevated tank volume Hrs AADD Pumped from One Source Hrs AADD Pumped from Multiple Sources Hrs AADD Gravity Source Recommended to split volumes roughly equal between Regional and Village storage for ew reservoirs,What is a Design Loss Factor??
Elevated Tank Tower Only required to provide reticulation pressures Hrs AADD only for area to be served by tank Max,What is a reticulation pressure??
Design for pipeli e flow between Main Storage and Elevated Tank GAADD Gravity GAADD Pumped hrs day Design Peak Factor for Reticulations DPF to Design Peak Flow Rate DPFR for Reticulation DPFR DPF GAADD Primary reticulation designed to supply lcd for all erven but only standpipes and existing erf connections to be provided against project costs,What is the design for reticulations??
New erf connection piping to be paid for by the ew consumer,What is the cost of erf connection piping??
Care must be taken that the underlying assumptions of water source availability are proven especially in the case of ground water and where river abstraction is ot controlled by significant upstream storage,What are the underlying assumptions of water source availability??
There are many factors to be considered in these instances and it will be up to the engineer to investigate these factors,What are the factors to be considered in these instances and the engineer to investigate these factors?
Some of the factors to be considered are uf Amount of power required,What are the factors to be considered??
uf Can this be provided by solar means usuall for small power requirements,What solar means are available for small power requirements?
uf Are facilities for operation and maintenance of diesel engines available uf The comparable cost of each solution,What is the cost of each solution??
Guidelines for economic optimisation of pump pipeline sizing Two or three of the preferred layouts should be compared in terms of cost technical feasibility economic viability social and environmental impacts,What is the economic optimisation of pump pipeline sizing??
The purpose is to optimise the pump and pipeline sizes by comparing the et present value of alternative configurations,What is the purpose of comparing the et present value of alternative configurations??
These analyses are ot usually relevant for small village pumping mains from localised boreholes,What is a borehole analysis??
Usually the analysis compares et present values over planning horizon of years,What is the analysis of et present values??
The recommended criteria to be used for economic analysis of water su pply infrastructure are as follows Infrastructure Lifetime Small pumps and motors years Electric installation years Structures and buildings years Pipelines years ii Power Costs Eskom Tariff iii Operation and Ma intenance Costs Pump station per annum,What is the cost of a pump station??
or the official Government discount rate as revised from time to time but sensitivity analysis also done to test for and Pump and pipe sizing for small borehole schemes In most cases the boreholes fo small schemes have yields of less then sec and only require pumping main of one to two kilometres to the village storage or reticulation,What is the sensitivity analysis for small borehole schemes??
Pumps for borehole schemes are also usually small typically ess than kW Sizing of pipes and therefore pumps can ormally be made using simple engineering calculations without the eed for undertaking optimisation analyses,What is a borehole scheme??
Simple guidelines for this type of scheme are Pipeline velocities of between and generally result in optimised pump and pipeline size,What is a pipeline size??
Guidelines for the development of water and sanitation infrastructure DESIGN REPORT DRAWI NGS AND SPECIF ICATIONS Introduction This section deals with the design report and the design drawings,What is the design report and the design drawings??
A typical water supply scheme comprises the following components uf source which could be boreholes or dam or weir uf water treatment plans uf pumps station uf Pipelines uf Reservoirs and uf Consumer connections,What is a typical water supply scheme??
The design of all of these components are discussed in following sections,What is the design of all of these components??
Design report Design reports should generally contain the following infor mation uf Cover page Region Province ame District Council Water Services Authority Consultant ame Scheme ame CWSS No,What is a Design report??
uf Water source to be correctly and thoroughly described as described below,What is a Water source??
uf Sizing of components infrastructure litres per second or clearly indicate how sized,How sized of components is infrastructure??
uf References White papers feasibility reports previous and or other phases design reports etc,What are the uf References??
An expanded framework for the design report is included in the design folder,What is included in the design folder??
At least the following should be confirmed preferably in the Design Report before going out to tender uf Name of the identified WSP uf Budgeted Operation and Maintenance costs uf Amount allocated for basic water supply uf Cost recovery mechanisms and expected revenue uf Other sources of operating funds such as Equitable share,What should be confirmed preferably in the Design Report?
Drawings Drawin gs should generally comply with the following standards uf All drawing work shall be done on or smaller size sheets with the client standard title block,What is a standard title block??
uf Alterations to drawings may only be authorised by the employer or his representative,What are Alterations to drawings??
uf Index drawing sheets of the complete scheme or part thereof as per type drawing must be drawn up giving list of all drawings with their description and must be subsidised in sections with appropriate section headings,What is a uf Index drawing??
Guidelines for the development of water and sanitation infrastructure uf Every project shall have compilation property diagram drawing showing the required expropriation and or servitude requirements for bulk water pipelines up to the revenue flow meter and associated dimensions,What are the requirements for bulk water pipelines up to the revenue flow meter??
uf Cross sections on drawings shall be consecutively umbered for each part of the project,What is a cross section on a drawing??
uf Drawings prepared by the Contractor must be thoroughly checked by the Consulting Engineer ith particular regard to compatibility with proposed adjoining or existing works,What is a Consulting Engineer to do??
uf Where civil works are based on plant layout drawings prepared by the mechanical electrical contractor the drawings shall be formally approved by the mechanical electrical representative of the employer after which the layout may not be altered without repeatin the procedure,Where civil works are based on plant layout drawings prepared by the mechanical electrical contractor?
uf On completion of the works the original drawings must be updated to the AS BUILT condition clearly marked AS BUILT and all drawings returned to the employer or his representative for safekeeping in format as specified,What is the AS BUILT condition??
Standard drawings A umber of standard drawings are included in the Drawings Folder,What is included in the Drawings Folder??
Special drawing requirements and operating and maintenance manuals Special requirements for drawings for tendering manufacturing and cons truction of mechanical electrical ature and special requirements for mechanical and electrical operating and maintenance manuals are included in the Design Folder,What is included in the Design Folder??
Guidelines for the development of water and sanitation infrastructure Design specifications The following DWAF specifications are relevant to the design of ommunity Water Supply Schemes and are included in the Specifications Folder,What is the following DWAF specification??
In areas with marginal water quality testing of ewly drilled boreholes or equipped existing boreholes should ot commence prior to availabilit of chemical analysis results of TDS NO and uf Borehole siting,What does a borehole sit on??
The hydrogeologist is responsible for ensuring that appropriate scientifically based methods are used to identify suitable drilling targets sites in accordance with hydrogeological condi tions for exploration drilling,What is the hydrogeologist responsible for??
In order to ensure safe working conditions and to limit the risk of pollution entering the groundwater abstraction facility borehole sites are also affected by the existence of manmade structures such as roads pipelines emetries sewage plants overhead powerlines buildings etc,What is the risk of pollution entering the groundwater abstraction facility borehole sites are also affected?
The hydrogeologist is responsible to ensure that boreholes are drilled designed and constructed to the required stand ards by controlled and on site supervision of drilling rigs,What is the role of the hydrogeologist??
The hydrogeologis is responsible to ensure that the required and appropriate calibration multi rate draw down constant discharge and related recovery tests are conducted to the required standards by on site and controlled supervision of testing contractors,What is a calibration test??
Guidelines for the development of water and sanitation infrastructure uf Borehole yield recommendations,What does Borehole yield??
Motorized borehole pumps are generally warranted only in instances where discharge rate in excess of can be maintained for continuous pumping period of eight hours or more per day,What is a motorized borehole pump??
Borehole yields must always be determined on the basis of hour per day pumping,What are the Borehole yields??
The project hydrogeologist is required to ensure that data requirements from the hydrogeologist and ontractors are documented on appropriate data recording forms and submitted to DWAF,What is the project hydrogeologist required to do??
This comprises the removal of drilling fines from the aquifer pores removal of drilling foam mud and establishing reverse filter around the bore hole aquifer interface,What is the reverse filter around the bore hole aquifer?
Duration of development can vary from couple of hours formation stabilizer hard rock formations to several days unconsolidated fine sandy aquifers,What is the duration of development??
Boreholes must also be disinfected or sterilized of any bacteria and particu larly coliform bacteria intruded into the borehole during drilling operations,What happens when a borehole is infected??
The borehole should be marked with pole meters to the orth of the borehole of approximately high with umber plate showing the borehole identification umber,What is the borehole identification umber plate??
The pump testing contractor is required to test ewly drilled boreholes which have ot yet be en equipped and existing boreholes which may or may ot already be equipped with pumping installations,What is the pump testing contractor's job??
The type of borehole test methods required include Slug Test Calibration Discharge Test Stepped Discharge Test Constant Discharge Test Recovery Test uf Monitoring the resource,What are the types of borehole test methods required??
The geohydrologist must develop monitoring system for at least one full hydrological year to evaluate the resource response to the safe yield abstraction rate,What is the yield abstraction rate??
Borehole pumps The pump specified must ot be capable of exceeding the safe yield of the borehole when utilized over hour period,What is the safe yield of the borehole when used over hour period??
Guidelines for the development of water and sanitation infrastructure The rest and pumping water levels in borehole may vary considerab ly during drought and above average rainfall sequences,What are the Guidelines for the development of water and sanitation infrastructure??
The selection of the particular pumping unit must also take into account the following factors uf The static head between the lowes drawdown level anticipated in the borehole and the delivery point at the borehole top,What is the difference between the lowes drawdown level anticipated in the borehole and the delivery point?
uf The friction generated in this length of rising main given due attention to the presence of any operating rods within the rising main,What is the friction generated in the rising main??
uf The static and friction heads fr om the top of the borehole to the top water level of the delivery point,What is the flow rate of the borehole??
uf The level at which the pumping unit has to be placed in the borehole must be as specified by the hydrogeologist or based on reliable information known to the engineer should hydrogeologist ot be available,What is the level at which the pumping unit must be placed in the borehole??
It is generally ot acceptable to provide motorised borehole pumps in boreholes yielding less that litres per second,What is a motorised borehole pump??
Borehole monitoring and other equipment All boreholes and borehole pumping plant mu st be provided with equipment to monitor pump borehole and aquifer performance,What equipment should be provided to monitor pump borehole and aquifer performance?
The main components required are uf Water meters uf Hour meters uf Water level depth measuring devices conduit pipe diameter ext to the riser in the borehole through whi ch measuring cable can be lowered is preferred however an electrical transducer or pressure pipe is an alternative,What is a whi ch measuring cable??
Guidelines for the development of water and sanitation infrastructure uf Pressure cut out switch with manual control and pressure cut out switch with to hour timed reset in auto control if electrically operated,What are the Guidelines for the development of water and sanitation infrastructure??
uf Low water level in borehole cut out elay with manual control and low water level in borehole cut out relay with to hr,What is a low water level in borehole cut out relay??
Guidelines for the development of water and sanitation infrastructure DAMS AND WEIRS Dams In some cases dams will be required to store surface runoff and to provide the bulk wate supply source,Why dams will be required to store surface runoff?
The size of the dam is dependent on the water demand the required assurance of delivery the hydrological characteristics of the river and the characteristics of the dam basin,What is the size of the dam basin??
The type of dam to be constructed will amongst others de pend on site configuration topography foundation conditions and the availability of suitable construction materials,What is the type of dam to be constructed??
Weirs Where dam is used for bulk water storage and the water is released down the river it may be ecessary to construct weir at the point of abstraction,What is a weir??
The purpose of the weir is usually to provide limited balancing storage for the bulk releases from the dam,What is the purpose of the weir??
Weirs can also be constructed to store limited amounts of runoff or even by allowing the basin to be filled with alluv ial material to create reservoir within the alluvial sand from which water can be abstracted,What is a weir??
In the case of weirs siltation is far greater problem than in the case of large or medium sized dams,What is the problem with weirs siltation??
Weirs generally being of limited height and capacity will also be overtopped by large floods,What will floods do to weirs??
More usually the weir is founded on rock in the river section and one or both of the abutments will comprise of soft river bank materials,What is a weir??
The Dam Safety Regulations may require that an Approved Professional Engineer APE assume responsibility for the design depending on the si te capacity and hazard potential of the dam,What Dam Safety Regulations may require that an Approved Professional Engineer?
The classification of proposed dam is done by the Dam Safety Office of DWAF upon submission of an application listing the pertinent data,What is the classification of proposed dam??
Outlet works of dams and weirs The outlet works of ypical dam comprises the following components uf Outlet works uf Outlet pipe systems uf Intake entrance uf Control valves for outlet works uf Isolating valves uf Control valves uf Intake isolating gates uf Under water wall mounted sluice gates uf Maintenance cranes uf Screening of take works The requirements for the outlet works of typical Class Dam is described below Depth of water draw off Water drawn from the dam directly to the water treatment works should come from the upper layer of the dam,What are the requirements for the outlet works of typical Class Dam??
Guidelines for the development of water and sanitation infrastructure Outlet pipe systems Dual system outlets should be provided in order to ensure continuous outlet from the water sources during repair or maintenance of the main outlet,What are the guidelines for the development of water and sanitation infrastructure??
At the most upstream point of the outlet pipe system an emergency closure by means of an underwater wall type spindle driven sluice gates operated by manual actuators may be employed only if the size of the outlet is in excess of mm diameter,What is the size of the outlet pipe system??
Intake entrance The most upstream exit from the dam reservoir should consist of bellmouth,What is the most upstream exit from the dam reservoir?
Maintenance of bel lmouths is practically impossible due to leakage through the isolating gate seals if gates are employed and limited working space downstream of such gates,What causes leakage through the isolating gate seals?
Intake bellmouths and adjacent pipework should thus be fabricated from stainless steel up to the ownstream isolating valve,What should be used for intake bellmouths and adjacent pipework??
Should the pipework downstream of the isolating valve be built into concrete or buried in earth this pipework should also be fabricated from stainless steel,What should the pipework downstream of the isolating valve be built into??
Accessible pipework in any outlet system pipes which are expose and are removable may be fabricated from mild steel and corrosion protected,What is exposed pipework in any outlet system??
The coupling of built in steel or HDPE pipework hould be SABS or BSS flanges only and should be rated according to the hydrostatic pressure of the outlet works,What is the hydrostatic pressure of the pipework??
Friction grip couplings are unacceptable in other cases as well except where construction joints occur,What is a Friction grip coupling??
Control valves for outlet works Isolating valves Pipe outlets should be provided with valve downstream of the pipe entrance to facilitate maintenance of the control valves and downstream pipework,What valves should be provided for outlet works??
Pipe outlets up to mm in diameter should be provided with open port resilient seal valve RSV type gate valves,What should be provided with mm in diameter gate valves??
Pipe outlets exceeding mm diameter should be fitted with butterfly valves double flanged or wafer type having horizontal spindles only so as ot to be affected by silt build up on the bottom of the pipe,What should a pipe outlet be fitted with??
