,questions
219,What is an independent laboratory accredited by the Irish National Accreditation Board?
222,What is electrofusion jointed to the ends of the coil?
225,What is a PVC asbestos cement polyethylene?
226,What are the performance requirements of WIS?
228,What is the minimum chromium content?
231,What is amenity conservation?
235,What are the discharge limits for commercial scale food prepa ration locations?
239,What is required in respect of FOG control?
243,What should be kept clear of fuel oils?
245,What is a MDP?
249,What is a creep deformation recovery?
250,What is a GMS signal strength survey?
253,What is a odour control station?
255,What is cavitation vibration air locking?
258,What is the minimum factor of safety aga inst flotation?
261,When lifted the grid shall be capable of being secure in the upright position?
264,What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?
268,What is a Star Delta Electrical Contractor?
271,What Cables Submersible ump power cables shall be?
272,What are the CSA requirements for Analogue signal cabling?
275,What are the colours of ca bles?
277,What to do if junction boxes are to be installed?
278,What is the primary and secondary windi gs?
280,What happens when fuses are removed?
281,What is the Motor Starter Compartment?
283,What is a gland pla te?
284,What is the earth elect rode?
286,What is a wet well cleaning snore cycle?
287,What is a snore level?
288,What is a Volt Free Contact?
290,What is a dial out alarm?
291,What happens if the second person does ot acknowledge the alarm message?
293,What is a square deep sump?
294,What is the ESB incoming power cable?
296,What is the minimum segregation separation between Band ELV signal and Band LV power cables?
299,What is a swab?
301,What is the containers freeboard size?
304,What is a Hoist Chain?
307,What are the mechanical properties of fasteners made of carbon steel and alloy steel?
310,What is EN Standard for the burglar resistant classifications of domestic and commercial doorsets?
313,What is gui dance from IW?
316,What are the requirements for rising main profiles in accor dance?
319,What is ew Table and te xt?
321,What is a Stiffness Class SN fitting?
323,What is a Class engineering brick?
324,What is the use of degreasers and enzymes?
326,What is a VSD control panel?
327,What is the requirement for aperture size overflow screens?
329,What is tand size?
333,What is the least squares method for stand sizes?
334,What is a sprinkler ead?
338,What happens when sheathing is to be applied after lini g?
339,What is the steam curing process?
341,What is an epoxy zinc sealer?
344,What is a dft?
347,What is a topacryl finish?
351,What is the ominal diameter of the branch in millimeters?
353,What is bitumen dipped?
355,What is a coal coating?
359,What is bitumen dipping?
361,What is the City of Cape Town SAP system for extraction of information?
365,What is a Field Terminal Device AMR feature?
367,What is the life span of a battery?
370,What is the SABS NCRS Metrological certificate?
372,What is a stopcock?
374,What is the size of a st opcock?
376,What should be laid in soil that is contaminated with petrol oil?
377,What are the less expensive chrome plated taps for kitchen sinks and wash hand basins?
380,What are the flow characteristics of ballostops?
381,What is the case for outside taps?
382,What is the cost of a garden tap?
383,What is a cistern?
386,What is a litre Shires duranite unit?
388,What is a cistern positive feature?
391,What is a sacrificial anode?
394,What is anode eplaced?
397,What are the requirements of SANS?
398,What is the cost of hydraul ic testing?
400,Where o convenient hydrant exists?
401,Why use a Talbot Steripress?
405,What does a hydrant consist of?
406,What is The Saw Tooth method?
410,What was the disruption caused by the use of shacks in Kosovo?
0,What is the material used for piping system above ground?
1,What is the Part Specification for Pipes and Fittings for Smooth Internal and External Surfaces and the System Part?
2,What type of pipe is supplied?
3,What is the subject of this document?
4,What must be supplied in both electronic and hard copy?
5,What is the format of this example?
6,What is the delivery of services in urban areas?
8,What are the recommended minimum dimensions?
9,What are Specific Minimum Requirements?
10,Why in line eedle valves be used for controlled water outlet from the dam or weir?
11,What should anchoring be provided in steep slopes and directional and elevation changes?
12,What is the friction generated in the rising main?
13,What is the spin lining?
14,?
15,What is the requirement to comply with this Part?
16,What does the Department of Health do?
17,What is the Occupation Health and Safety Act Act of?
18,What is the extent of the buildings and structured?
19,What is required for the provision of permanent lifting equipment?
20,What should the structures be of?
21,What size anchor bolts shall be used?
22,What is required before advancing with the work?
23,What happens when hard standing areas are located over locations that have been excavated?
24,Where th is is unavoidable?
26,What shall the lifting gantry do?
28,What is the selection of an appropriate treatment process?
29,What is the dependable yield of the various sources?
30,What are the other requirements for indication?
31,Where the water source is being further developed?
32,What is the Code of Practice and Standard Details for Wastewater Infrastructure?
33,What is Wastewater arising from such developments?
34,What are the alternative protection measures for the distance where the depth is below the depth limits outlined above?
35,What is a damage or contamination?
36,What is contaminated soil disposal requirements?
37,What is the cost of such a method?
38,What is the cost effective way to minimise its occurrence?
40,What are the factors to be considered in these instances and the engineer to investigate these factors?
42,What is the location of the air valve?
43,What is a corrosion barrier?
45,What are the following requirements for motor protection?
46,What should ot be greater than rpm pole?
47,What shall the common control and motor starters be provided with?
48,What is a motor protection unit or relay?
49,What is the body of the end ring?
50,What are the requirements of IS EN and IS?
52,What is the Electrical Specification of this Part?
53,What changes of direction greater than degrees?
54,What shall be the ducting?
55,What is a Restricted Toilet Use RTU?
56,What is the most favourable alternative?
58,What should be used as far as possible?
61,What is a fault current?
62,What should a defect be found?
64,What is the voltage of the control circuit supply voltage?
65,What is the design of all of these components?
66,What is a manual switch?
68,What is the difference between a pump and motor?
71,What is the minimum opening angle of degrees?
72,What is the best position for the meter?
73,What is the supply authority for metering points?
74,What is the condition of the control panel?
75,What are the programmable settings of the unit?
76,What is required to house the control panels and associated equipment?
77,What is the policy of the government?
79,what is the depth of the protection measures?
80,When the pulse cabl has been destroyed or tampered with?
81,What is a single house pumped discharge?
82,What is the minimum thickness of the floor?
84,What is required in Section above?
85,What should be included in the particular component of the works that has to be improved?
87,Where access is from traffic sensitive street or other major road?
88,What is the colour code for wiring?
89,What type of hard standing is required?
90,What are the Specific Requirements?
93,What is a Surcharge?
94,What is the following uf?
97,How and where the electricity is supplied and metered?
100,What is the electrical scope and limits of contract?
101,Where the anticipated or design depth at that location is greater than meters?
104,What type of material is offered?
106,What should residential demand estimates be based on?
110,What is SA NS Class and shall be in lengths complete with integral socket and rubber ring seal?
111,What shall be the replacement material?
113,What type of cover should the cover be of?
116,What shall ot be the minus tolerance in isolated areas?
117,What has been included in the following definitions?
122,What should break pressure tanks look like?
123,What is the Developers Responsibility for the Provision of Materials?
126,What is the storage capacity requirement?
127,What is ot limited to the provision of on site balance storage?
128,What is a balance storage requirement?
129,What happens when Odour is removed from the pit?
130,Why not move the VIP toilet when the pit is full?
131,What is the size of the pit and the porosity of the soil surrounding it?
132,What is a Lining Pit?
133,What is a Saddle connection?
134,What is a saddle fitting?
135,What is the difference between a saddle and a special?
138,What is the purpose of these guidelines?
142,What is TII Specification for the Reinstatement of Openings in National Roads July?
143,What is the difference between this Code of Practice and the Guidelines for the Opening Backfilling and Reinstatement of Trenches in Public Roads or the TII Specification for Road Works?
144,What are the results of these tests?
145,What was the result of the test?
146,What is the infiltration test?
147,What is the container positioned away from the sides?
151,What is a container to stand on?
153,What is the cost of this?
157,What happens when there are industrial or mining activities in the vicinity?
159,What is included in this agreement?
160,How to determine institutional arrangements and requirements for financial and other reporting?
161,What is an appropriate technical specification?
162,What is the manufacturers recommendation?
166,What is the purpose of comparing the et present value of alternative configurations?
168,What is the analysis of et present values?
170,What are the flow assumptions for the proposed Works for the Development?
172,What should be included in the calculation of the system curve?
174,What is the minimum water usage of lcd?
176,What is the eedIW Revision for hour storage of DWF?
178,What is the purpose of guidelines?
180,What is required to complete this assessment and review?
182,What is Consent to discharge from the Environmental Protection Agency?
183,What is the risk of odour nuisance arising?
184,What is the impact of the Works on the environment?
187,what is outlined above for the kiosk?
188,What is the risk of toxic fumes dangerous gasses?
189,What is the Transport Infrastructure Ireland Specification for Road Works?
190,What is the need for this separation distance?
191,What is an Irish Standard IS?
193,When eeded this access shall be by way of safe access?
194,What is a design criterion?
201,What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?
206,What happens if the Works is deemed adequate?
207,What are the requirements for cable ways?
208,What is the design load including antenna?
214,What happens if pipes fittings or specials are damaged in any way and through any cause whatsoever during delivery and stacking?
216,What is a scour fitting?
217,What is the snore lev el?
218,What Does Rising Main Fittings Do?
220,What are the Qualifications and Training Requirements?
221,What should be certified and equivalent?
223,What is a butt fusion and electrof usion jointing process?
224,What equipment shall be used for butt fusion and electrofusion welding?
225,What type of mortar shall be used for the frame and cover?
226,What is the WSAs role as the customer representative?
227,What is the Council Standard Specification CE WS?
231,What is the design of asset frastructure and landscaping?
234,What are the requisite dimensional requirements from adjoining property boundaries?
236,What are the figures given in the guidelines?
238,What is the minimum cessation of supply?
239,What is the average dry weather flow?
241,What is Dry Weather Flow?
242,What is the minimum clear distance?
244,What is the proposed maintenance regime for the grease trap?
248,What is the WSDP?
256,When mechanical type couplings are used?
262,What should the hard standing areas be designed to carry?
265,What is the in year return period event requirement?
268,What is the Developer Developers Electrical Contractors responsibility?
269,What general conditions are applicable to civil design and mechanical electrical engineering?
270,What is the Department Specifications on Electrical Installations?
271,What is the instrument end of the cable?
273,What cables shall be installed using proprietary cable support system?
275,What is the preferred exterior colour of the kiosk?
277,What are the overs for surface boxes on Rising Main?
278,What is a Supplementary Requirement?
282,What should have been in the first sentence?
284,What is a earthing survey?
285,What is the supply authority requirement regarding earthing?
286,What is the wet well finish?
288,What is a vortice?
290,What is a tele metry outstation?
292,What is a standard warning otice?
295,What is a Power factor correctio?
298,What is the correct type and size cable?
299,What are the requisite site tests for the Works?
300,What is a re test?
303,What is the difference between a floating open container and a closed container?
307,What is the yield stress on the steel?
308,What is required for steel fittings and specials?
309,What is the steel grade for?
313,What is the Self Lay Surety?
318,What is the Code of Practice and Standard Details?
319,What can occur at the outset of ew development?
320,What does the Developer provide for ew Development?
322,What is soldered fittings?
323,What would a Class or higher work be?
329,What are the sizes to be used?
331,What is the TII Specification?
332,What are the following Specifica tions?
334,What happens when these flows discharge without treatment to watercourses or land drainage systems?
335,What happens when pressure of water is applied to the pipework?
336,What is the maximum allowed drop after allowing for evaporation and rainfall?
340,What is the Developers Right to Revert to?
341,What is the sealant used?
342,What shall be the sealant?
343,What is a sealer?
344,What are the following proformas?
346,What is Standard Specification DWS?
348,What is the finished lining?
350,What is the main fill material?
351,What is the ominal diameter of a pipe?
352,What are the criteria for the use of branch or saddle connections?
356,What shall the time between surface preparation and coating be?
357,What is a Class standard coating?
363,What should be elucidated in the report?
364,What could be made between townships and suburbs in the data sets of Cape Town?
365,What is a uf Terminal?
366,What shall Terminals be fixed to the back of the junction box?
370,What is SA NS approved?
371,What is SA NS as amended?
372,What is a pipe stop plug?
373,What is a start stop?
375,What is the difference between the specified length and the specified width?
376,What is the condition of the soil in which the pipe is to be laid?
377,What should the tap be of?
378,What is Drains and associated access accessories upstream of the boundary of the Premises?
379,What shall the Contractor do to ensure the safe and efficient handling of all pipes and fittings?
380,What are the precautions to avoid causing damage to or interference with flow?
382,What is the peak capacity of the feeder pipes and water purification works?
398,What type of couplings shall be used for jointing to hydrants and valves?
405,What is a water test?
406,What are the requirements of this Code of Practice?
407,What is the minimum distance between cut in and cut out levels?
409,What is this Code of Practice?
410,What are the blocks of toilets used in Kosovo Service Guidelines Standards for Water and Sanitation Department CCT?
412,What is the municipality doing in house?
413,What is a double lock?
