,firstCQs
303,What is a screening of intake works?
306,What is a ozone depleting substance?
310,What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?
314,What pits are the orms?
318,What is the value of chlorine?
321,What is the case for outside taps?
322,What is a PVC asbestos cement polyethylene?
323,What is a chlorine test kit?
326,How long should rubber rings be exposed to ultra violet radiation or ozone?
330,What is the steam curing process?
332,What are the requirements of SANS?
333,What is the problem with weirs siltation?
334,What is the earth elect rode?
336,What is a topacryl finish?
340,What is the Municipal Infrastructure Unit MIU?
341,What is a chafing membrane?
343,Why stringers should be bolted to the support cleats?
346,What is the minimum internal dimensions of the access shaft?
349,What will Solar ce lls do when o mains power is available?
352,What to do if junction boxes are to be installed?
353,What is the SABS NCRS Metrological certificate?
355,What is the cost of a garden tap?
356,What are the requirements of the Occupa tional Health and Safety Act?
358,What is a hot dip galvanised treatment?
360,What are the flow characteristics of ballostops?
361,What is the ESB incoming power cable?
363,What is the long term roughness value ks?
365,What should eck rings be fitted with?
367,Why use a Talbot Steripress?
371,What is recommended for turbid raw waters NTUs?
372,When vailable NPSH is problem?
376,What is electrofusion jointed to the ends of the coil?
379,What should the freeboard height above the storage volume be?
382,What should be laid in soil that is contaminated with petrol oil?
383,What happens when fuses are removed?
384,What was the disruption caused by the use of shacks in Kosovo?
388,What solar means are available for small power requirements?
391,What happens if the second person does ot acknowledge the alarm message?
393,What shall be the sock et fittings?
394,What should light switches be placed above finished floor level in accordance with SANS?
398,Where o convenient hydrant exists?
399,What are the performance requirements of WIS?
401,What are the supply authorities requirements for standby generators?
402,What are the minimum internal dimensions of an oval seat?
405,What is a creep deformation recovery?
406,What is required to remove the hoist units after each use?
407,What are the requirements for rising main profiles in accor dance?
410,What is the difference between uf Solar cells and WIVA chargers?
0,?
1,What is the requirement to comply with this Part?
2,What is the location of the air valve?
3,What is the most favourable alternative?
4,What should be used as far as possible?
5,What shall ot be the minus tolerance in isolated areas?
6,What has been included in the following definitions?
8,When eeded this access shall be by way of safe access?
9,What is a design criterion?
11,What is the subject of this document?
12,What are the alternative protection measures for the distance where the depth is below the depth limits outlined above?
13,What is a damage or contamination?
14,What is contaminated soil disposal requirements?
15,What is the Self Lay Surety?
17,What is required in Section above?
18,What are the recommended minimum dimensions?
20,what is the depth of the protection measures?
22,What should the tap be of?
23,What is Drains and associated access accessories upstream of the boundary of the Premises?
24,What shall the Contractor do to ensure the safe and efficient handling of all pipes and fittings?
25,What are the following requirements for motor protection?
26,What should ot be greater than rpm pole?
27,What shall the common control and motor starters be provided with?
28,What is a motor protection unit or relay?
29,What is the container positioned away from the sides?
30,What is a container to stand on?
31,What is the format of this example?
33,What is the cost of such a method?
37,what is outlined above for the kiosk?
38,What happens when these flows discharge without treatment to watercourses or land drainage systems?
39,What happens when pressure of water is applied to the pipework?
40,What is the maximum allowed drop after allowing for evaporation and rainfall?
41,What is the average dry weather flow?
43,What is the voltage of the control circuit supply voltage?
44,What is the design of all of these components?
45,What is a manual switch?
46,What is the manufacturers recommendation?
49,What is included in this agreement?
51,What is the cost effective way to minimise its occurrence?
52,What is the risk of toxic fumes dangerous gasses?
53,What is the Transport Infrastructure Ireland Specification for Road Works?
54,What is the need for this separation distance?
55,What is an Irish Standard IS?
57,What are the following proformas?
59,What can occur at the outset of ew development?
60,What does the Developer provide for ew Development?
61,What should a defect be found?
62,What is the minimum water usage of lcd?
66,What are the requirements of this Code of Practice?
67,What is the minimum distance between cut in and cut out levels?
69,What is this Code of Practice?
70,What type of couplings shall be used for jointing to hydrants and valves?
71,What are the results of these tests?
72,What is the Developer Developers Electrical Contractors responsibility?
73,What general conditions are applicable to civil design and mechanical electrical engineering?
74,What is the Department Specifications on Electrical Installations?
75,What is the ominal diameter of a pipe?
76,What are the criteria for the use of branch or saddle connections?
77,What is a pipe stop plug?
78,What is a start stop?
79,What size anchor bolts shall be used?
80,What is required before advancing with the work?
81,What happens when hard standing areas are located over locations that have been excavated?
82,What is an appropriate technical specification?
83,What is the best position for the meter?
84,What is the supply authority for metering points?
87,When mechanical type couplings are used?
91,What is the purpose of these guidelines?
92,What is a scour fitting?
93,What is the snore lev el?
94,When the pulse cabl has been destroyed or tampered with?
95,What is a single house pumped discharge?
96,What was the result of the test?
97,What are the Qualifications and Training Requirements?
98,What should be certified and equivalent?
102,What is the WSDP?
103,What is a tele metry outstation?
108,What is Standard Specification DWS?
109,What is the minimum clear distance?
110,What is the proposed maintenance regime for the grease trap?
111,What is a vortice?
114,What changes of direction greater than degrees?
115,What is the minimum opening angle of degrees?
121,What are the flow assumptions for the proposed Works for the Development?
123,What should be included in the calculation of the system curve?
124,What should residential demand estimates be based on?
131,What should be elucidated in the report?
132,What could be made between townships and suburbs in the data sets of Cape Town?
133,What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?
134,What would a Class or higher work be?
140,What should anchoring be provided in steep slopes and directional and elevation changes?
141,What is the friction generated in the rising main?
142,What is the yield stress on the steel?
143,What is required for steel fittings and specials?
144,What is the steel grade for?
146,Where th is is unavoidable?
148,What is a fault current?
151,What is the purpose of guidelines?
152,What are the Specific Requirements?
153,What is required to complete this assessment and review?
154,What is the spin lining?
156,What should the hard standing areas be designed to carry?
158,What are the requirements for cable ways?
159,What is the instrument end of the cable?
160,What is the correct type and size cable?
164,What happens when there are industrial or mining activities in the vicinity?
165,What shall the time between surface preparation and coating be?
166,What is a Class standard coating?
173,What is the Code of Practice and Standard Details for Wastewater Infrastructure?
174,What is Wastewater arising from such developments?
177,What is the electrical scope and limits of contract?
178,Where the anticipated or design depth at that location is greater than meters?
183,What is the design load including antenna?
184,What are the sizes to be used?
186,What is the TII Specification?
187,What are the following Specifica tions?
188,What is the material used for piping system above ground?
189,What is the Part Specification for Pipes and Fittings for Smooth Internal and External Surfaces and the System Part?
190,What type of pipe is supplied?
191,What are the figures given in the guidelines?
194,What is a water test?
195,What is the purpose of comparing the et present value of alternative configurations?
197,What is the analysis of et present values?
199,What is the Developers Responsibility for the Provision of Materials?
201,What shall be the replacement material?
202,What type of cover should the cover be of?
203,What is the design of asset frastructure and landscaping?
205,What is Consent to discharge from the Environmental Protection Agency?
206,What are the requisite dimensional requirements from adjoining property boundaries?
207,What is a Supplementary Requirement?
218,What type of material is offered?
226,What is the minimum cessation of supply?
228,What are the factors to be considered in these instances and the engineer to investigate these factors?
230,What should break pressure tanks look like?
232,What must be supplied in both electronic and hard copy?
235,What cables shall be installed using proprietary cable support system?
238,Where access is from traffic sensitive street or other major road?
239,What is the colour code for wiring?
241,What should have been in the first sentence?
244,What shall the lifting gantry do?
245,What is required for the provision of permanent lifting equipment?
246,What is a uf Terminal?
247,What shall Terminals be fixed to the back of the junction box?
250,What is the difference between the specified length and the specified width?
252,How to determine institutional arrangements and requirements for financial and other reporting?
253,What is the condition of the control panel?
254,What are the programmable settings of the unit?
255,What is required to house the control panels and associated equipment?
256,What is the policy of the government?
257,What is the wet well finish?
259,What is the eedIW Revision for hour storage of DWF?
262,What is Dry Weather Flow?
264,What is the preferred exterior colour of the kiosk?
268,What is TII Specification for the Reinstatement of Openings in National Roads July?
269,What is the difference between this Code of Practice and the Guidelines for the Opening Backfilling and Reinstatement of Trenches in Public Roads or the TII Specification for Road Works?
270,What is the extent of the buildings and structured?
272,What should the structures be of?
278,What are the requisite site tests for the Works?
279,What is a re test?
282,What is the difference between a floating open container and a closed container?
285,How and where the electricity is supplied and metered?
287,What is the Electrical Specification of this Part?
289,What shall be the ducting?
290,What is the sealant used?
291,What shall be the sealant?
292,What is a sealer?
293,What happens if the Works is deemed adequate?
295,What is the difference between a pump and motor?
298,What is soldered fittings?
299,What is a Restricted Toilet Use RTU?
303,What is the selection of an appropriate treatment process?
304,What is the dependable yield of the various sources?
305,What are the other requirements for indication?
308,What is the risk of odour nuisance arising?
309,What is the impact of the Works on the environment?
311,What is the in year return period event requirement?
314,What happens when Odour is removed from the pit?
315,Why not move the VIP toilet when the pit is full?
316,What is the size of the pit and the porosity of the soil surrounding it?
317,What is a Lining Pit?
318,What is the cost of this?
321,Where the water source is being further developed?
322,What type of mortar shall be used for the frame and cover?
325,What is the infiltration test?
327,What is SA NS Class and shall be in lengths complete with integral socket and rubber ring seal?
331,What is the Developers Right to Revert to?
333,Why in line eedle valves be used for controlled water outlet from the dam or weir?
334,What is a earthing survey?
335,What is the supply authority requirement regarding earthing?
337,What is the finished lining?
339,What is the main fill material?
340,What is the delivery of services in urban areas?
345,What happens if pipes fittings or specials are damaged in any way and through any cause whatsoever during delivery and stacking?
352,What are the overs for surface boxes on Rising Main?
353,What is SA NS approved?
354,What is SA NS as amended?
355,What is the peak capacity of the feeder pipes and water purification works?
356,What does the Department of Health do?
357,What is the Occupation Health and Safety Act Act of?
358,What is a corrosion barrier?
360,What are the precautions to avoid causing damage to or interference with flow?
362,What is a Power factor correctio?
365,What is the body of the end ring?
366,What are the requirements of IS EN and IS?
377,What is a butt fusion and electrof usion jointing process?
378,What equipment shall be used for butt fusion and electrofusion welding?
379,What is the storage capacity requirement?
380,What is ot limited to the provision of on site balance storage?
381,What is a balance storage requirement?
382,What is the condition of the soil in which the pipe is to be laid?
384,What are the blocks of toilets used in Kosovo Service Guidelines Standards for Water and Sanitation Department CCT?
386,What is the municipality doing in house?
387,What is a double lock?
390,What are Specific Minimum Requirements?
392,What is a standard warning otice?
393,What Does Rising Main Fittings Do?
394,What is the minimum thickness of the floor?
397,What should be included in the particular component of the works that has to be improved?
399,What is the WSAs role as the customer representative?
400,What is the Council Standard Specification CE WS?
401,What type of hard standing is required?
402,What is a Saddle connection?
403,What is a saddle fitting?
404,What is the difference between a saddle and a special?
409,What is the Code of Practice and Standard Details?
412,What is a Surcharge?
413,What is the following uf?
