|questions|patterns|similar_question|similarity_score
54|What is a phase induction type fan?|What is EC1?|What shall be the ducting?|0.6976
55|What is a RTD?|What is EC1?|What is a Restricted Toilet Use RTU?|0.7109
56|What is a RTD?|What is EC1?|What is the most favourable alternative?|0.6978
57|What is a RTD?|What is EC1?|Where th is is unavoidable?|0.6966
58|What is a RTD?|What is EC1?|What should be used as far as possible?|0.6962
59|What colour LED are ot available?|What EC1 are ot EC2?|What should streetlights look like?|0.7487
60|What colour LED are ot available?|What EC1 are ot EC2?|What is a security lighting?|0.7408
61|What is a lamp af ter fault?|What is EC1 af EC2?|What is a fault current?|0.7277
62|What is a lamp af ter fault?|What is EC1 af EC2?|What should a defect be found?|0.7187
63|What are the requirements for LV switchboards and motor control?|What are EC1 for EC2 and EC3?|What shall the common control and motor starters be provided with?|0.7218
64|What are the requirements for LV switchboards and motor control?|What are EC1 for EC2 and EC3?|What is the voltage of the control circuit supply voltage?|0.7094
65|What are the requirements for LV switchboards and motor control?|What are EC1 for EC2 and EC3?|What is the design of all of these components?|0.7066
66|What are the requirements for LV switchboards and motor control?|What are EC1 for EC2 and EC3?|What is a manual switch?|0.7005
67|What is thermal overload protection for motors?|What is EC1 for EC2?|What shall the common control and motor starters be provided with?|0.7013
68|What is thermal overload protection for motors?|What is EC1 for EC2?|What is the difference between a pump and motor?|0.6878
69|What is a phase angle type relay?|What is EC1?|What is a phase induction type fan?|0.7335
70|What is a phase angle type relay?|What is EC1?|What changes of direction greater than degrees?|0.7312
71|What is a phase angle type relay?|What is EC1?|What is the minimum opening angle of degrees?|0.7196
72|What is required for Combined thermal demand and instantaneous ammeters?|What is PC1 EC1 and EC2?|What is the best position for the meter?|0.7489
73|What is required for Combined thermal demand and instantaneous ammeters?|What is PC1 EC1 and EC2?|What is the supply authority for metering points?|0.7473
74|What is a PLC?|What is EC1?|What is the condition of the control panel?|0.7244
75|What is a PLC?|What is EC1?|What are the programmable settings of the unit?|0.7137
76|What is a PLC?|What is EC1?|What is required to house the control panels and associated equipment?|0.7126
77|What is a PLC?|What is EC1?|What is the policy of the government?|0.7049
78|What are the requirements for lightning protection?|What are EC1 for EC2?|What is a security lighting?|0.7379
79|What are the requirements for lightning protection?|What are EC1 for EC2?|what is the depth of the protection measures?|0.7328
80|What is a Surge arrestor?|What is EC1?|When the pulse cabl has been destroyed or tampered with?|0.7336
81|What is a Surge arrestor?|What is EC1?|What is a single house pumped discharge?|0.7245
82|What should light switches be placed above finished floor level in accordance with SANS?|What PC1 EC1 be PC1 EC2 in EC3 with EC4?|What is the minimum thickness of the floor?|0.7437
83|What should light switches be placed above finished floor level in accordance with SANS?|What PC1 EC1 be PC1 EC2 in EC3 with EC4?|?|0.7142
84|What should light switches be placed above finished floor level in accordance with SANS?|What PC1 EC1 be PC1 EC2 in EC3 with EC4?|What is required in Section above?|0.7138
85|What should light switches be placed above finished floor level in accordance with SANS?|What PC1 EC1 be PC1 EC2 in EC3 with EC4?|What should be included in the particular component of the works that has to be improved?|0.7111
86|What should streetlights look like?|What PC1 EC1 PC1?|What colour LED are ot available?|0.7487
87|What should streetlights look like?|What PC1 EC1 PC1?|Where access is from traffic sensitive street or other major road?|0.7294
88|What should streetlights look like?|What PC1 EC1 PC1?|What is the colour code for wiring?|0.7239
89|What are the supply authorities requirements for standby generators?|What are EC1 for EC2?|What type of hard standing is required?|0.7493
90|What is a hard drive?|What is EC1?|What are the Specific Requirements?|0.7463
91|What is the difference between uf Solar cells and WIVA chargers?|What is the difference between EC1 and EC2?|What solar means are available for small power requirements?|0.7495
92|What is the difference between uf Solar cells and WIVA chargers?|What is the difference between EC1 and EC2?|What will Solar ce lls do when o mains power is available?|0.7189
93|What is the difference between uf Solar cells and WIVA chargers?|What is the difference between EC1 and EC2?|What is a Surcharge?|0.6687
94|What is the difference between uf Solar cells and WIVA chargers?|What is the difference between EC1 and EC2?|What is the following uf?|0.668
95|What will Solar ce lls do when o mains power is available?|What PC1 EC1 PC1 when EC2 is EC3?|?|0.7239
96|What will Solar ce lls do when o mains power is available?|What PC1 EC1 PC1 when EC2 is EC3?|Where th is is unavoidable?|0.7211
97|What will Solar ce lls do when o mains power is available?|What PC1 EC1 PC1 when EC2 is EC3?|How and where the electricity is supplied and metered?|0.7193
98|What is the maximum resistance ohms?|What is EC1?|?|0.7118
99|What is the maximum resistance ohms?|What is EC1?|What should be used as far as possible?|0.7108
100|What is the maximum resistance ohms?|What is EC1?|What is the electrical scope and limits of contract?|0.7091
101|What is the maximum resistance ohms?|What is EC1?|Where the anticipated or design depth at that location is greater than meters?|0.6937
102|What is a Lightning Protection?|What is EC1?|what is the depth of the protection measures?|0.7444
103|What is a Lightning Protection?|What is EC1?|What is a security lighting?|0.7414
104|What is a bitumen fibre wrap?|What is EC1?|What type of material is offered?|0.7394
105|What is a bitumen fibre wrap?|What is EC1?|What is the subject of this document?|0.7166
106|What is the consumption of ach individual household?|What is EC1 of EC2?|What should residential demand estimates be based on?|0.7488
107|What is a chafing membrane?|What is EC1?|What is the most favourable alternative?|0.7454
108|What is a chafing membrane?|What is EC1?|What should be used as far as possible?|0.7373
109|How long should rubber rings be exposed to ultra violet radiation or ozone?|How long PC1 EC1 be PC1 EC2 or EC3?|What is a ozone depleting substance?|0.7192
110|How long should rubber rings be exposed to ultra violet radiation or ozone?|How long PC1 EC1 be PC1 EC2 or EC3?|What is SA NS Class and shall be in lengths complete with integral socket and rubber ring seal?|0.6907
111|How long should rubber rings be exposed to ultra violet radiation or ozone?|How long PC1 EC1 be PC1 EC2 or EC3?|What shall be the replacement material?|0.6822
112|How long should rubber rings be exposed to ultra violet radiation or ozone?|How long PC1 EC1 be PC1 EC2 or EC3?|What is the cost effective way to minimise its occurrence?|0.6805
113|What is the SANS standard for flexible plastic sleeve?|What is EC1 for EC2?|What type of cover should the cover be of?|0.7363
114|What is the range of deflection for concentric or eccentric diffusers?|What is EC1 of EC2 for EC3?|What is the most favourable alternative?|0.7471
115|What is the range of deflection for concentric or eccentric diffusers?|What is EC1 of EC2 for EC3?|What should be used as far as possible?|0.7466
116|What is the range of deflection for concentric or eccentric diffusers?|What is EC1 of EC2 for EC3?|What shall ot be the minus tolerance in isolated areas?|0.7456
117|What is the range of deflection for concentric or eccentric diffusers?|What is EC1 of EC2 for EC3?|What has been included in the following definitions?|0.7431
118|When vailable NPSH is problem?|When EC1 is EC2?|?|0.7419
119|When vailable NPSH is problem?|When EC1 is EC2?|What should be used as far as possible?|0.7362
120|When vailable NPSH is problem?|When EC1 is EC2?|What has been included in the following definitions?|0.735
121|When vailable NPSH is problem?|When EC1 is EC2?|Where th is is unavoidable?|0.734
122|What is a yard tank?|What is EC1?|What should break pressure tanks look like?|0.746
123|What type of sand should be used for plastering?|What type PC2 shoPC2sed for PC1?|What is the Developers Responsibility for the Provision of Materials?|0.7406
124|What type of sand should be used for plastering?|What type PC2 shoPC2sed for PC1?|?|0.7373
125|What type of sand should be used for plastering?|What type PC2 shoPC2sed for PC1?|What shall be the replacement material?|0.7304
126|What should the freeboard height above the storage volume be?|What should EC1 above EC2 be?|What is the storage capacity requirement?|0.7211
127|What should the freeboard height above the storage volume be?|What should EC1 above EC2 be?|What is ot limited to the provision of on site balance storage?|0.6979
128|What should the freeboard height above the storage volume be?|What should EC1 above EC2 be?|What is a balance storage requirement?|0.6967
129|What pits are the orms?|What EC1 are EC2?|What happens when Odour is removed from the pit?|0.7391
130|What pits are the orms?|What EC1 are EC2?|Why not move the VIP toilet when the pit is full?|0.7276
131|What pits are the orms?|What EC1 are EC2?|What is the size of the pit and the porosity of the soil surrounding it?|0.7172
132|What pits are the orms?|What EC1 are EC2?|What is a Lining Pit?|0.7117
133|What are the minimum internal dimensions of an oval seat?|What are EC1 of EC2?|What is a Saddle connection?|0.7152
134|What are the minimum internal dimensions of an oval seat?|What are EC1 of EC2?|What is a saddle fitting?|0.7109
135|What are the minimum internal dimensions of an oval seat?|What are EC1 of EC2?|What is the difference between a saddle and a special?|0.7083
136|What is a ke pt in mind?|What is EC1 in EC2?|What is a kerb line?|0.7299
137|What is a ke pt in mind?|What is EC1 in EC2?|What has been included in the following definitions?|0.7203
138|What is a ke pt in mind?|What is EC1 in EC2?|What is the purpose of these guidelines?|0.7182
139|What is a security lighting?|What is EC1?|What is a Lightning Protection?|0.7414
140|What is a security lighting?|What is EC1?|What colour LED are ot available?|0.7408
141|What is a security lighting?|What is EC1?|What are the requirements for lightning protection?|0.7379
142|What is a titration?|What is EC1?|What is TII Specification for the Reinstatement of Openings in National Roads July?|0.7424
143|What is a titration?|What is EC1?|What is the difference between this Code of Practice and the Guidelines for the Opening Backfilling and Reinstatement of Trenches in Public Roads or the TII Specification for Road Works?|0.7347
144|What is a chlorine test kit?|What is EC1?|What are the results of these tests?|0.736
145|What is a chlorine test kit?|What is EC1?|What was the result of the test?|0.7349
146|What is a chlorine test kit?|What is EC1?|What is the infiltration test?|0.7262
147|How to use a laboratory jar stirrer?|How PC1 EC1?|What is the container positioned away from the sides?|0.7295
148|How to use a laboratory jar stirrer?|How PC1 EC1?|What is the format of this example?|0.694
149|How to use a laboratory jar stirrer?|How PC1 EC1?|?|0.6915
150|When to use a jar stirrer?|When PC1 EC1?|What is the container positioned away from the sides?|0.7243
151|When to use a jar stirrer?|When PC1 EC1?|What is a container to stand on?|0.6903
152|When to use a jar stirrer?|When PC1 EC1?|What is the format of this example?|0.686
153|What is the value of chlorine?|What is EC1 of EC2?|What is the cost of this?|0.7373
154|What is the value of chlorine?|What is EC1 of EC2?|What is the most favourable alternative?|0.7369
155|What is the value of chlorine?|What is EC1 of EC2?|?|0.7355
156|What is the National Industrial Participation Programme NIPP?|What is EC1?|What is the purpose of these guidelines?|0.7397
157|What is the National Industrial Participation Programme NIPP?|What is EC1?|What happens when there are industrial or mining activities in the vicinity?|0.7395
158|What is the National Industrial Participation Programme NIPP?|What is EC1?|What is required before advancing with the work?|0.7379
159|What is a Credit Order Instruction?|What is EC1?|What is included in this agreement?|0.7405
160|What is a Credit Order Instruction?|What is EC1?|How to determine institutional arrangements and requirements for financial and other reporting?|0.7391
161|What is a ut bolt and gasket?|What is EC1 and EC2?|What is an appropriate technical specification?|0.7379
162|What is a Brand ames?|What is EC1?|What is the manufacturers recommendation?|0.7437
163|What is a Brand ames?|What is EC1?|What should be used as far as possible?|0.7436
164|What is a Brand ames?|What is EC1?|What has been included in the following definitions?|0.7392
165|What is a Brand ames?|What is EC1?|What is included in this agreement?|0.7364
166|What is Ervian Holdings?|What is EC1?|What is the purpose of comparing the et present value of alternative configurations?|0.7261
167|What is Ervian Holdings?|What is EC1?|?|0.7156
168|What is Ervian Holdings?|What is EC1?|What is the analysis of et present values?|0.7134
169|What is Ervian Holdings?|What is EC1?|What should be used as far as possible?|0.7121
170|What is the start ode reference?|What is EC1?|What are the flow assumptions for the proposed Works for the Development?|0.7435
171|What is the start ode reference?|What is EC1?|?|0.7396
172|What is the start ode reference?|What is EC1?|What should be included in the calculation of the system curve?|0.7388
173|What is a defect on a personal computer screen laptop screen?|What is EC1 on EC2?|What should a defect be found?|0.75
174|What is a defect on a personal computer screen laptop screen?|What is EC1 on EC2?|What is the minimum water usage of lcd?|0.7386
175|What is the eed for such repair reconstruction or rectification works?|What is EC1 for EC2 or EC3?|What is the eed for full Appendix design assessment?|0.7477
176|What is the eed for such repair reconstruction or rectification works?|What is EC1 for EC2 or EC3?|What is the eedIW Revision for hour storage of DWF?|0.7394
177|What is a CPR?|What is EC1?|What is the purpose of these guidelines?|0.7183
178|What is a CPR?|What is EC1?|What is the purpose of guidelines?|0.7151
179|What is a CPR?|What is EC1?|What are the Specific Requirements?|0.7029
180|What is a CPR?|What is EC1?|What is required to complete this assessment and review?|0.7018
181|What is a ozone depleting substance?|What is a ozone PC1 EC1?|How long should rubber rings be exposed to ultra violet radiation or ozone?|0.7192
182|What is a ozone depleting substance?|What is a ozone PC1 EC1?|What is Consent to discharge from the Environmental Protection Agency?|0.7087
183|What is a ozone depleting substance?|What is a ozone PC1 EC1?|What is the risk of odour nuisance arising?|0.7057
184|What is a ozone depleting substance?|What is a ozone PC1 EC1?|What is the impact of the Works on the environment?|0.6971
185|What is a kerb line?|What is EC1?|What is a ke pt in mind?|0.7299
186|What is a kerb line?|What is EC1?|What is the format of this example?|0.7272
187|What is a kerb line?|What is EC1?|what is outlined above for the kiosk?|0.727
188|What are the minimum separation distances for Gas Network Ireland infrastructure?|What are EC1 for EC2?|What is the risk of toxic fumes dangerous gasses?|0.7438
189|What are the minimum separation distances for Gas Network Ireland infrastructure?|What are EC1 for EC2?|What is the Transport Infrastructure Ireland Specification for Road Works?|0.7209
190|What are the minimum separation distances for Gas Network Ireland infrastructure?|What are EC1 for EC2?|What is the need for this separation distance?|0.7191
191|What are the minimum separation distances for Gas Network Ireland infrastructure?|What are EC1 for EC2?|What is an Irish Standard IS?|0.7032
192|What is the eed for full Appendix design assessment?|What is EC1 for EC2?|What is the eed for such repair reconstruction or rectification works?|0.7477
193|What is the eed for full Appendix design assessment?|What is EC1 for EC2?|When eeded this access shall be by way of safe access?|0.7311
194|What is the eed for full Appendix design assessment?|What is EC1 for EC2?|What is a design criterion?|0.7216
195|What is the long term roughness value ks?|What is EC1 ks?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7474
196|What is the long term roughness value ks?|What is EC1 ks?|What should be used as far as possible?|0.7428
197|What is the primary app roach?|What is EC1?|What are the Specific Requirements?|0.7347
198|What is the primary app roach?|What is EC1?|?|0.7335
199|What is the primary app roach?|What is EC1?|What is the most favourable alternative?|0.7302
200|What is the primary app roach?|What is EC1?|What has been included in the following definitions?|0.729
201|What is IS ENVIRONMENTAL CONTROL?|What is IS EC1?|What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?|0.7421
202|What would occur on typical residential estate distributor road?|What PC1 PC1 EC1?|?|0.7476
203|What is a horizontal rodding eye?|What is EC1?|What is the most favourable alternative?|0.7384
204|What is a horizontal rodding eye?|What is EC1?|?|0.729
205|What is a horizontal rodding eye?|What is EC1?|What should be used as far as possible?|0.7277
206|What is the difference between mm and mm solid concrete block work walls?|What is the difference between EC1?|What happens if the Works is deemed adequate?|0.7425
207|What to do if redundant channels are blanked?|What to do if EC1 are EC2?|What are the requirements for cable ways?|0.7279
208|What to do if redundant channels are blanked?|What to do if EC1 are EC2?|What is the design load including antenna?|0.7229
209|What is the minimum internal dimensions of the access shaft?|What is EC1 of EC2?|What should be used as far as possible?|0.7463
210|What is the minimum internal dimensions of the access shaft?|What is EC1 of EC2?|What is the requirement to comply with this Part?|0.7459
211|What is the minimum internal dimensions of the access shaft?|What is EC1 of EC2?|?|0.7421
212|Why stringers should be bolted to the support cleats?|Why EC1 PC1 be PC1 EC2?|?|0.75
213|Why stringers should be bolted to the support cleats?|Why EC1 PC1 be PC1 EC2?|What is the requirement to comply with this Part?|0.7493
214|Why stringers should be bolted to the support cleats?|Why EC1 PC1 be PC1 EC2?|What happens if pipes fittings or specials are damaged in any way and through any cause whatsoever during delivery and stacking?|0.7481
215|What is the jetting resistance of psi Bar?|What is EC1 of EC2?|?|0.7207
216|What is a SN stiffness class fitting?|What is EC1 EC2?|What is a scour fitting?|0.7303
217|What is a SN stiffness class fitting?|What is EC1 EC2?|What is the snore lev el?|0.7082
218|What shall be the sock et fittings?|What shall be EC1 EC2?|What Does Rising Main Fittings Do?|0.7472
219|What is an independent laboratory accredited by the Irish National Accreditation Board?|What is EC1 PC1 EC2?|What was the result of the test?|0.7465
220|What is an independent laboratory accredited by the Irish National Accreditation Board?|What is EC1 PC1 EC2?|What are the Qualifications and Training Requirements?|0.7358
221|What is an independent laboratory accredited by the Irish National Accreditation Board?|What is EC1 PC1 EC2?|What should be certified and equivalent?|0.7356
222|What is electrofusion jointed to the ends of the coil?|What is EC1 PC1 EC2 of EC3?|What is the Electrical Specification of this Part?|0.7384
223|What is electrofusion jointed to the ends of the coil?|What is EC1 PC1 EC2 of EC3?|What is a butt fusion and electrof usion jointing process?|0.7363
224|What is electrofusion jointed to the ends of the coil?|What is EC1 PC1 EC2 of EC3?|What equipment shall be used for butt fusion and electrofusion welding?|0.735
225|What is a PVC asbestos cement polyethylene?|What is EC1?|What type of mortar shall be used for the frame and cover?|0.7451
226|What are the performance requirements of WIS?|What are EC1 of EC2?|What is the WSAs role as the customer representative?|0.7361
227|What are the performance requirements of WIS?|What are EC1 of EC2?|What is the Council Standard Specification CE WS?|0.7353
228|What is the minimum chromium content?|What is EC1?|?|0.7428
229|What is the minimum chromium content?|What is EC1?|What should be used as far as possible?|0.7403
230|What is the minimum chromium content?|What is EC1?|What are the factors to be considered in these instances and the engineer to investigate these factors?|0.7378
231|What is amenity conservation?|What is EC1?|What is the design of asset frastructure and landscaping?|0.748
232|What is amenity conservation?|What is EC1?|What are some areas of specific ecological interest such as Special Area of Conservation SACs National Heritage Area NHAs?|0.7417
233|What is amenity conservation?|What is EC1?|What is Consent to discharge from the Environmental Protection Agency?|0.7349
234|What is amenity conservation?|What is EC1?|What are the requisite dimensional requirements from adjoining property boundaries?|0.7265
235|What are the discharge limits for commercial scale food prepa ration locations?|What are EC1 for EC2?|What is the purpose of these guidelines?|0.7471
236|What are the discharge limits for commercial scale food prepa ration locations?|What are EC1 for EC2?|What are the figures given in the guidelines?|0.7398
237|What are the discharge limits for commercial scale food prepa ration locations?|What are EC1 for EC2?|What is the requirement to comply with this Part?|0.7361
238|What are the discharge limits for commercial scale food prepa ration locations?|What are EC1 for EC2?|What is the minimum cessation of supply?|0.7349
239|What is required in respect of FOG control?|What is PC1 respect of EC1?|What is the average dry weather flow?|0.7222
240|What is required in respect of FOG control?|What is PC1 respect of EC1?|What has been included in the following definitions?|0.7191
241|What is required in respect of FOG control?|What is PC1 respect of EC1?|What is Dry Weather Flow?|0.7146
242|What is required in respect of FOG control?|What is PC1 respect of EC1?|What is the minimum clear distance?|0.7086
243|What should be kept clear of fuel oils?|What PC1 be PC1 EC1?|What is the minimum clear distance?|0.6924
244|What should be kept clear of fuel oils?|What PC1 be PC1 EC1?|What is the proposed maintenance regime for the grease trap?|0.692
245|What is a MDP?|What is EC1?|What has been included in the following definitions?|0.6954
246|What is a MDP?|What is EC1?|?|0.6925
247|What is a MDP?|What is EC1?|What is the most favourable alternative?|0.689
248|What is a MDP?|What is EC1?|What is the WSDP?|0.6887
249|What is a creep deformation recovery?|What is EC1?|What is the cost effective way to minimise its occurrence?|0.7424
250|What is a GMS signal strength survey?|What is EC1?|What are the CSA requirements for Analogue signal cabling?|0.7417
251|What is a GMS signal strength survey?|What is EC1?|What should be used as far as possible?|0.7298
252|What is a GMS signal strength survey?|What is EC1?|What is the purpose of these guidelines?|0.7193
253|What is a odour control station?|What is EC1?|What is the risk of toxic fumes dangerous gasses?|0.7477
254|What is a odour control station?|What is EC1?|?|0.7252
255|What is cavitation vibration air locking?|What PC1 EC1 PC1?|?|0.7222
256|What is cavitation vibration air locking?|What PC1 EC1 PC1?|When mechanical type couplings are used?|0.7166
257|What is cavitation vibration air locking?|What PC1 EC1 PC1?|What is the requirement to comply with this Part?|0.7161
258|What is the minimum factor of safety aga inst flotation?|What is EC1 of EC2 inst EC3?|What are the figures given in the guidelines?|0.7447
259|What is the minimum factor of safety aga inst flotation?|What is EC1 of EC2 inst EC3?|?|0.7421
260|What is the minimum factor of safety aga inst flotation?|What is EC1 of EC2 inst EC3?|What are the Specific Requirements?|0.7294
261|When lifted the grid shall be capable of being secure in the upright position?|When PC1 EC1 shall be capable of being secure in EC2?|?|0.7397
262|When lifted the grid shall be capable of being secure in the upright position?|When PC1 EC1 shall be capable of being secure in EC2?|What should the hard standing areas be designed to carry?|0.7352
263|When lifted the grid shall be capable of being secure in the upright position?|When PC1 EC1 shall be capable of being secure in EC2?|What is the requirement to comply with this Part?|0.7271
264|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is EC1 fitted to the incomer PC1 EC2 due to phase ECPC2 EC1 fitted to the incomer PC1 EC2 due to phase EC3?|What are the following requirements for motor protection?|0.7368
265|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is EC1 fitted to the incomer PC1 EC2 due to phase ECPC2 EC1 fitted to the incomer PC1 EC2 due to phase EC3?|What is the in year return period event requirement?|0.7347
266|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is EC1 fitted to the incomer PC1 EC2 due to phase ECPC2 EC1 fitted to the incomer PC1 EC2 due to phase EC3?|What is the requirement to comply with this Part?|0.7188
267|What is phase failure protection fitted to the incomer phases to prevent motor burnout due to phase failure?|What is EC1 fitted to the incomer PC1 EC2 due to phase ECPC2 EC1 fitted to the incomer PC1 EC2 due to phase EC3?|What are the Specific Requirements?|0.7125
268|What is a Star Delta Electrical Contractor?|What is EC1?|What is the Developer Developers Electrical Contractors responsibility?|0.7466
269|What is a Star Delta Electrical Contractor?|What is EC1?|What general conditions are applicable to civil design and mechanical electrical engineering?|0.7268
270|What is a Star Delta Electrical Contractor?|What is EC1?|What is the Department Specifications on Electrical Installations?|0.7262
271|What Cables Submersible ump power cables shall be?|What EC1 Submersible EC2 shall be?|What is the instrument end of the cable?|0.732
272|What are the CSA requirements for Analogue signal cabling?|What PC1 EC1 for Analogue signal PC1?|What is a GMS signal strength survey?|0.7417
273|What are the CSA requirements for Analogue signal cabling?|What PC1 EC1 for Analogue signal PC1?|What cables shall be installed using proprietary cable support system?|0.7371
274|What are the CSA requirements for Analogue signal cabling?|What PC1 EC1 for Analogue signal PC1?|What is the design load including antenna?|0.7343
275|What are the colours of ca bles?|What are EC1 of EC2?|What is the preferred exterior colour of the kiosk?|0.7334
276|What are the colours of ca bles?|What are EC1 of EC2?|What colour LED are ot available?|0.7241
277|What to do if junction boxes are to be installed?|What PC1 if EC1 are PC2 be PC2?|What are the overs for surface boxes on Rising Main?|0.7415
278|What is the primary and secondary windi gs?|What is EC1 EC2?|What is a Supplementary Requirement?|0.7474
279|What is the primary and secondary windi gs?|What is EC1 EC2?|What has been included in the following definitions?|0.7469
280|What happens when fuses are removed?|What PC1 when EC1 are EC2?|What is a fault current?|0.7489
281|What is the Motor Starter Compartment?|What is EC1?|What is a motor protection unit or relay?|0.745
282|What is the Motor Starter Compartment?|What is EC1?|What should have been in the first sentence?|0.7447
283|What is a gland pla te?|What is EC1?|What is the most favourable alternative?|0.7379
284|What is the earth elect rode?|What is EC1 PC1?|What is a earthing survey?|0.7394
285|What is the earth elect rode?|What is EC1 PC1?|What is the supply authority requirement regarding earthing?|0.7282
286|What is a wet well cleaning snore cycle?|What is EC1?|What is the wet well finish?|0.7491
